U_Date,U_FWeekNum,U_FWeek,U_Fperiod,U_FPname,U_FPStart,U_FPEnd,U_Fyear,U_FYStart,U_FYEnd
01/01/2017,1,01/01/2017,1,January,01/01/2017,28/01/2017,2017,01/01/2017,31/12/2017
10/01/2017,2,08/01/2017,1,January,01/01/2017,28/01/2017,2017,01/01/2017,31/12/2017
10/04/2017,15,09/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
26/09/2016,40,25/09/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
27/09/2016,40,25/09/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
28/09/2016,40,25/09/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
29/09/2016,40,25/09/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
30/09/2016,40,25/09/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
01/10/2016,40,25/09/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
02/10/2016,41,02/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
03/10/2016,41,02/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
04/10/2016,41,02/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
05/10/2016,41,02/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
11/04/2017,15,09/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
06/10/2016,41,02/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
07/10/2016,41,02/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
08/10/2016,41,02/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
09/10/2016,42,09/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
10/10/2016,42,09/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
11/10/2016,42,09/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
12/10/2016,42,09/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
13/10/2016,42,09/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
14/10/2016,42,09/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
15/10/2016,42,09/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
12/04/2017,15,09/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
16/10/2016,43,16/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
17/10/2016,43,16/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
18/10/2016,43,16/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
19/10/2016,43,16/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
20/10/2016,43,16/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
21/10/2016,43,16/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
22/10/2016,43,16/10/2016,10,October,25/09/2016,22/10/2016,2016,01/01/2016,31/12/2016
23/10/2016,44,23/10/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
24/10/2016,44,23/10/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
25/10/2016,44,23/10/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
13/04/2017,15,09/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
26/10/2016,44,23/10/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
27/10/2016,44,23/10/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
28/10/2016,44,23/10/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
29/10/2016,44,23/10/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
30/10/2016,45,30/10/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
31/10/2016,45,30/10/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
01/11/2016,45,30/10/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
02/11/2016,45,30/10/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
03/11/2016,45,30/10/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
04/11/2016,45,30/10/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
14/04/2017,15,09/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
05/11/2016,45,30/10/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
06/11/2016,46,06/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
07/11/2016,46,06/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
08/11/2016,46,06/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
09/11/2016,46,06/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
10/11/2016,46,06/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
11/11/2016,46,06/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
12/11/2016,46,06/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
13/11/2016,47,13/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
14/11/2016,47,13/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
15/04/2017,15,09/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
15/11/2016,47,13/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
16/11/2016,47,13/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
17/11/2016,47,13/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
18/11/2016,47,13/11/2016,11,November,23/10/2016,26/11/2016,2016,01/01/2016,31/12/2016
