ItemCode,ItemCatX
TYYX,Beef
ZYX8,Cheese
ZYX9,Cheese
ZYZY,Cheese
ZYZX,Cheese
XC5X,Chicken
XC6X,Chicken
XC6Z,Chicken
DX8X,Purée
DX8Z,Purée
MTY7,Minced & Moist
MTY8,Minced & Moist
TZYY,Chicken
XYTY,Chicken
XYC9,Chicken
XCZX,Soups & Light Chicken
GCX67,Pork
GCX8Z,Pork
GCX8C,Pork
GCX87,Milk
GCZX5,Pork
GCZZY,Pork
GCZZ5,Pork
GCZCX,Pork
GCZCZ,Pork
GCX56,Pork
GCX58,Pork
GCX59,Pork
GCX6Y,Pork
GCX6X,Pork
GCX5C,Pork
GCX5T,Pork
GCX55,Pork
GCX6Z,Pork
GCX6C,Pork
GCX6T,Pork
GCX65,Pork
GCX66,Pork
GCXC8,Pork
GCXC9,Pork
GCXCX,Pork
GCXCZ,Pork
GCXCC,Milk
GCXCT,Pork
GCXC5,Pork
GCXZ7,Pork
GCXZZ,Pork
GCXZC,Pork
GCXZT,Pork
TYYZ,Soups & Light Chicken
TYYC,Chicken
GCX57,Pork
GCXZ5,Pork
GCXZ6,Pork
GCXX9,Pork
GCXZY,Pork
GCXZX,Pork
GCXY7,Pork
GCXY8,Pork
GCXY9,Milk
GCXXY,Milk
GCXXX,Pork
GCY97,Pork
GCY98,Pork
GCY99,Pork
GCXYY,Pork
GCXYX,Pork
GCY76,Pork
GCY77,Pork
GCY78,Pork
GCY79,Pork
GCY8Y,Pork
GCX7C,Pork
GCY6Y,Pork
GCYCZ,Pork
GCYCC,Pork
GCYCT,Pork
GCYC5,Pork
GCYC6,Pork
GCYC7,Milk
GCY55,Pork
GCX79,Pork
GCX9T,Pork
GCX95,Pork
GCX96,Pork
GCX97,Pork
GCX98,Pork
GCX99,Pork
GCZYY,Milk
GCZYX,Pork
GCZYZ,Pork
GCZYC,Pork
GCYYX,Pork
GCZCC,Pork
GCXT7,Milk
GCXT8,Milk
XYZT,Sides
ZYZ6,Cheese
EYZ,Other
XYZ8,Sides
GCXXC,Pork
GCXXT,Pork
GCXX5,Pork
GCXX6,Pork
GCXYZ,Pork
GCXYC,Pork
GCXYT,Pork
GCXY5,Pork
GCXY6,Pork
GCYCX,Pork
GCY5X,Pork
GCY56,Pork
GCY57,Milk
GCY58,Milk
GCY59,Pork
G8Z8,Pork
G8Z9,Pork
G879,Pork
XXYC,Cheese
XZZX,Pork
XZ67,Pork
ZYCX,Cheese
XYTX,Chicken
XC6C,Chicken
XC6T,Chicken
XC65,Chicken
ZYYC,Cheese
ZYZZ,Cheese
ZYZC,Cheese
ZYZT,Cheese
GCXC6,Pork
GCXC7,Pork
GCXTY,Pork
GCXTX,Pork
GCXTZ,Pork
GCYC8,Pork
GCYTY,Pork
XYY9,Chicken
XYXY,Chicken
XYXX,Chicken
XYXZ,Chicken
XYXT,Chicken
XYX5,Chicken
XYX6,Chicken
XYZ5,Chicken
XYZ6,Chicken
XYZ7,Sides
XYZ9,Chicken
XYCY,Soups & Light Chicken
XYCX,Soups & Light Chicken
XXC8,Chicken
XCYY,Chicken
XCYX,Chicken
